# x_m,y_m,w_tr_right_m,w_tr_left_m
6.3600,1.4250,0.1118,0.1118
6.3600,1.3750,0.1581,0.1581
6.3600,1.3250,0.2062,0.2062
6.3600,1.2750,0.2550,0.2550
6.3600,1.2250,0.3041,0.3041
6.3600,1.1750,0.3536,0.3536
6.3600,1.1250,0.4031,0.4031
6.3600,1.0750,0.4528,0.4528
6.3600,1.0250,0.5025,0.5025
6.3100,0.9750,0.5500,0.5500
6.3100,0.9250,0.6000,0.6000
6.3100,0.8750,0.6500,0.6500
6.3100,0.8250,0.7000,0.7000
6.3100,0.7750,0.7500,0.7500
6.3100,0.7250,0.8000,0.8000
6.3100,0.6750,0.8500,0.8500
6.3100,0.6250,0.8559,0.8559
6.3100,0.5750,0.8544,0.8544
6.2600,0.5250,0.8860,0.8860
6.2600,0.4750,0.8732,0.8732
6.2600,0.4250,0.8631,0.8631
6.2100,0.3750,0.8500,0.8500
6.1600,0.3250,0.8000,0.8000
6.1100,0.3250,0.8000,0.8000
6.0600,0.2750,0.7500,0.7500
6.0100,0.2750,0.7500,0.7500
6.0100,0.2750,0.7500,0.7500
5.9600,0.2750,0.7500,0.7500
5.9100,0.2750,0.7500,0.7500
5.8600,0.2750,0.7500,0.7500
5.8100,0.2750,0.7500,0.7500
5.7600,0.2750,0.7500,0.7500
5.7100,0.2750,0.7500,0.7500
5.6600,0.2750,0.7500,0.7500
5.6100,0.2750,0.7500,0.7500
5.5600,0.2750,0.7500,0.7500
5.5100,0.2750,0.7500,0.7500
5.4600,0.2750,0.7500,0.7500
5.4100,0.2750,0.7500,0.7500
5.3600,0.2750,0.7500,0.7500
5.3100,0.2750,0.7500,0.7500
5.2600,0.2750,0.7500,0.7500
5.2100,0.2750,0.7500,0.7500
5.1600,0.2750,0.7500,0.7500
5.1100,0.2750,0.7500,0.7500
5.0600,0.2750,0.7500,0.7500
5.0100,0.2750,0.7500,0.7500
4.9600,0.2750,0.7500,0.7500
4.9100,0.2750,0.7500,0.7500
4.8600,0.2750,0.7500,0.7500
4.8100,0.2750,0.7500,0.7500
4.7600,0.2750,0.7500,0.7500
4.7100,0.2750,0.7500,0.7500
4.6600,0.2750,0.7500,0.7500
4.6100,0.2750,0.7500,0.7500
4.5600,0.2750,0.7500,0.7500
4.5100,0.2750,0.7500,0.7500
4.4600,0.2750,0.7500,0.7500
4.4100,0.2750,0.7500,0.7500
4.3600,0.2750,0.7500,0.7500
4.3100,0.2750,0.7500,0.7500
4.2600,0.2750,0.7500,0.7500
4.2100,0.2750,0.7500,0.7500
4.1600,0.2750,0.7500,0.7500
4.1100,0.2750,0.7500,0.7500
4.0600,0.2750,0.7500,0.7500
4.0100,0.2750,0.7500,0.7500
3.9600,0.2750,0.7500,0.7500
3.9100,0.2750,0.7517,0.7517
3.8600,0.2750,0.7566,0.7566
3.8100,0.2750,0.7649,0.7649
3.7600,0.2750,0.7649,0.7649
3.7100,0.2750,0.7566,0.7566
3.6600,0.2750,0.7517,0.7517
3.6100,0.2750,0.7500,0.7500
3.5600,0.2750,0.7500,0.7500
3.5100,0.2750,0.7500,0.7500
3.4600,0.2750,0.7500,0.7500
3.4100,0.2750,0.7500,0.7500
3.3600,0.2750,0.7500,0.7500
3.3100,0.2750,0.7500,0.7500
3.2600,0.2750,0.7500,0.7500
3.2100,0.2750,0.7500,0.7500
3.1600,0.2750,0.7500,0.7500
3.1100,0.2750,0.7500,0.7500
3.0600,0.2750,0.7500,0.7500
3.0100,0.2250,0.7500,0.7500
2.9600,0.2250,0.7500,0.7500
2.9100,0.2250,0.7500,0.7500
2.8600,0.2250,0.7500,0.7500
2.8100,0.2250,0.7500,0.7500
2.7600,0.2250,0.7500,0.7500
2.7100,0.2250,0.7500,0.7500
2.6600,0.2250,0.7500,0.7500
2.6100,0.2250,0.7500,0.7500
2.5600,0.2250,0.7500,0.7500
2.5100,0.2250,0.7500,0.7500
2.4600,0.2250,0.7500,0.7500
2.4100,0.2250,0.7500,0.7500
2.3600,0.2250,0.7500,0.7500
2.3100,0.2250,0.7500,0.7500
2.2600,0.2250,0.7500,0.7500
2.2100,0.2750,0.8000,0.8000
2.1600,0.2750,0.8000,0.8000
2.1100,0.2750,0.8000,0.8000
2.0600,0.2750,0.7906,0.7906
2.0100,0.2750,0.7762,0.7762
1.9600,0.2750,0.7649,0.7649
1.9100,0.2750,0.7566,0.7566
1.8600,0.2750,0.7517,0.7517
1.8100,0.2750,0.7500,0.7500
