timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.53372e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.006,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.009,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.013,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.017,2.53372e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.022,2.53372e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.026,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.03,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.033,3.80057e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.038,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.041,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.046,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.049,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.054,0.000161711,0.026819,7.5245,-0.374467,-0.937867,-2.87928,0.4755,8,2
0.058,0.000277665,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
0.061,0.000277665,0.0443316,7.4294,-0.379489,-0.939333,-2.87898,0.5706,8,2
0.066,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.069,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.073,0.000304642,0.0460255,7.3343,-0.385453,-0.940959,-2.87895,0.6657,8,2
0.077,0.000215366,0.0334033,7.2392,-0.392366,-0.942719,-2.87917,0.7608,8,2
0.082,0.000215366,0.0334033,7.2392,-0.392366,-0.942719,-2.87917,0.7608,8,2
0.087,0.000124152,0.0225569,7.1441,-0.400197,-0.944724,-2.87936,0.8559,8,2
0.09,0.000124152,0.0225569,7.1441,-0.400197,-0.944724,-2.87936,0.8559,8,2
0.093,0.000124152,0.0225569,7.1441,-0.400197,-0.944724,-2.87936,0.8559,8,2
0.097,5.11214e-05,0.00102817,7.049,-0.408969,-0.946893,-2.87973,0.951,8,2
0.101,5.11214e-05,0.00102817,7.049,-0.408969,-0.946893,-2.87973,0.951,8,2
0.106,0.000214173,-0.0172221,6.9539,-0.418656,-0.949321,-2.88005,1.0461,8,2
0.109,0.000214173,-0.0172221,6.9539,-0.418656,-0.949321,-2.88005,1.0461,8,2
0.113,0.000214173,-0.0172221,6.9539,-0.418656,-0.949321,-2.88005,1.0461,8,2
0.118,0.000450554,-0.0446248,6.8588,-0.429281,-0.951923,-2.88053,1.1412,8,2
0.122,0.000450554,-0.0446248,6.8588,-0.429281,-0.951923,-2.88053,1.1412,8,2
0.127,0.000603322,-0.0593234,6.7637,-0.440802,-0.954853,-2.88079,1.2363,8,2
0.129,0.000603322,-0.0593234,6.7637,-0.440802,-0.954853,-2.88079,1.2363,8,2
0.133,0.000603322,-0.0593234,6.7637,-0.440802,-0.954853,-2.88079,1.2363,8,2
0.137,0.00059587,-0.0532582,6.6686,-0.453201,-0.958184,-2.88068,1.3314,8,2
0.141,0.00059587,-0.0532582,6.6686,-0.453201,-0.958184,-2.88068,1.3314,8,2
