timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.005,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.008,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.012,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.016,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.02,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.025,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.028,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.032,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.037,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.04,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.045,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.048,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.052,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.056,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.06,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.065,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.068,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.073,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.076,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.08,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.086,0.000368059,-0.0398164,7.1441,-0.400324,-0.944248,-2.88044,0.8559,8,2
