timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.001,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.004,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.007,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.011,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.015,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.019,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.025,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.027,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.031,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.035,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.04,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.044,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.048,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.051,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.055,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.059,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.064,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.069,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.071,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.075,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.079,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
