timestamp,cross_track_error,yaw_error,speed_error,current_x,current_y,current_yaw,current_speed,target_speed,closest_waypoint_idx
0,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.003,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.006,2.60824e-06,-0.00134873,8,-0.363028,-0.934631,-2.87977,0,8,2
0.01,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.014,2.53372e-06,-0.00134873,7.9049,-0.363487,-0.934754,-2.87977,0.0951,8,2
0.02,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.022,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.026,2.60824e-06,-0.00134873,7.8098,-0.364865,-0.935124,-2.87977,0.1902,8,2
0.03,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.034,3.80803e-05,0.00570002,7.7147,-0.367151,-0.935778,-2.87965,0.2853,8,2
0.039,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.042,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.046,8.94253e-05,0.0144973,7.6196,-0.370352,-0.936689,-2.8795,0.3804,8,2
0.05,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.055,9.04685e-05,0.0144973,7.5245,-0.374486,-0.937798,-2.8795,0.4755,8,2
0.059,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.062,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.066,3.48758e-05,0.00559074,7.4294,-0.379552,-0.939099,-2.87965,0.5706,8,2
0.07,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.074,7.93649e-05,-0.00790572,7.3343,-0.385553,-0.940588,-2.87989,0.6657,8,2
0.08,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.082,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.086,0.000183471,-0.0185062,7.2392,-0.392469,-0.942334,-2.88007,0.7608,8,2
0.09,0.000368059,-0.0398164,7.1441,-0.400324,-0.944248,-2.88044,0.8559,8,2
0.094,0.000368059,-0.0398164,7.1441,-0.400324,-0.944248,-2.88044,0.8559,8,2
0.099,0.000471048,-0.0489961,7.049,-0.409077,-0.946488,-2.8806,0.951,8,2
0.102,0.000471048,-0.0489961,7.049,-0.409077,-0.946488,-2.8806,0.951,8,2
0.106,0.000471048,-0.0489961,7.049,-0.409077,-0.946488,-2.8806,0.951,8,2
0.11,0.000429167,-0.0400896,6.9539,-0.418712,-0.949113,-2.88045,1.0461,8,2
0.114,0.000429167,-0.0400896,6.9539,-0.418712,-0.949113,-2.88045,1.0461,8,2
0.119,0.000362098,-0.0301448,6.8588,-0.429258,-0.952009,-2.88028,1.1412,8,2
0.122,0.000362098,-0.0301448,6.8588,-0.429258,-0.952009,-2.88028,1.1412,8,2
0.126,0.000362098,-0.0301448,6.8588,-0.429258,-0.952009,-2.88028,1.1412,8,2
0.13,0.000198748,-0.00856141,6.7637,-0.440698,-0.955244,-2.8799,1.2363,8,2
0.134,0.000198748,-0.00856141,6.7637,-0.440698,-0.955244,-2.8799,1.2363,8,2
0.139,3.3758e-05,0.0112188,6.6686,-0.453056,-0.958727,-2.87955,1.3314,8,2
0.142,3.3758e-05,0.0112188,6.6686,-0.453056,-0.958727,-2.87955,1.3314,8,2
0.146,3.3758e-05,0.0112188,6.6686,-0.453056,-0.958727,-2.87955,1.3314,8,2
0.15,0.000212012,0.0406706,6.5735,-0.466312,-0.962534,-2.87904,1.4265,8,2
0.156,0.000212012,0.0406706,6.5735,-0.466312,-0.962534,-2.87904,1.4265,8,2
0.16,0.000451225,0.0673357,6.4784,-0.480487,-0.966581,-2.87858,1.5216,8,2
0.162,0.000451225,0.0673357,6.4784,-0.480487,-0.966581,-2.87858,1.5216,8,2
0.166,0.000451225,0.0673357,6.4784,-0.480487,-0.966581,-2.87858,1.5216,8,2
0.171,0.000764959,0.102634,6.3833,-0.495562,-0.970945,-2.87796,1.6167,8,2
0.174,0.000764959,0.102634,6.3833,-0.495562,-0.970945,-2.87796,1.6167,8,2
0.179,0.000997166,0.124873,6.2882,-0.511577,-0.975478,-2.87757,1.7118,8,2
0.182,0.000997166,0.124873,6.2882,-0.511577,-0.975478,-2.87757,1.7118,8,2
0.187,0.000997166,0.124873,6.2882,-0.511577,-0.975478,-2.87757,1.7118,8,2
0.191,0.00105589,0.122496,6.1931,-0.528555,-0.980087,-2.8776,1.8069,8,3
0.194,0.00105589,0.122496,6.1931,-0.528555,-0.980087,-2.8776,1.8069,8,3
0.199,0.00105857,0.114928,6.098,-0.546467,-0.984891,-2.87773,1.902,8,3
0.202,0.00105857,0.114928,6.098,-0.546467,-0.984891,-2.87773,1.902,8,3
0.206,0.00105857,0.114928,6.098,-0.546467,-0.984891,-2.87773,1.902,8,3
0.21,0.000946268,0.093263,6.0029,-0.565327,-0.989829,-2.87811,1.9971,8,3
0.214,0.000946268,0.093263,6.0029,-0.565327,-0.989829,-2.87811,1.9971,8,3
0.219,0.000813918,0.070942,5.9078,-0.585111,-0.994995,-2.8785,2.0922,8,3
0.223,0.000813918,0.070942,5.9078,-0.585111,-0.994995,-2.8785,2.0922,8,3
0.226,0.000813918,0.070942,5.9078,-0.585111,-0.994995,-2.8785,2.0922,8,3
0.23,0.000588194,0.0377746,5.8127,-0.605838,-1.00032,-2.87908,2.1873,8,3
0.234,0.000588194,0.0377746,5.8127,-0.605838,-1.00032,-2.87908,2.1873,8,3
0.24,0.000356285,0.00613715,5.7176,-0.627484,-1.00588,-2.87963,2.2824,8,3
0.243,0.000356285,0.00613715,5.7176,-0.627484,-1.00588,-2.87963,2.2824,8,3
0.246,0.000356285,0.00613715,5.7176,-0.627484,-1.00588,-2.87963,2.2824,8,3
0.25,4.06885e-05,-0.0347347,5.6225,-0.650071,-1.0116,-2.88034,2.3775,8,3
0.254,4.06885e-05,-0.0347347,5.6225,-0.650071,-1.0116,-2.88034,2.3775,8,3
0.259,0.00027461,-0.0729018,5.5274,-0.673576,-1.01758,-2.88101,2.4726,8,3
0.262,0.00027461,-0.0729018,5.5274,-0.673576,-1.01758,-2.88101,2.4726,8,3
0.266,0.00027461,-0.0729018,5.5274,-0.673576,-1.01758,-2.88101,2.4726,8,3
0.271,0.000669422,-0.119374,5.4323,-0.69802,-1.02372,-2.88182,2.5677,8,3
0.275,0.000669422,-0.119374,5.4323,-0.69802,-1.02372,-2.88182,2.5677,8,3
0.281,0.000984646,-0.152979,5.3372,-0.723362,-1.03019,-2.88239,2.6628,8,4
0.283,0.000984646,-0.152979,5.3372,-0.723362,-1.03019,-2.88239,2.6628,8,4
0.288,0.000984646,-0.152979,5.3372,-0.723362,-1.03019,-2.88239,2.6628,8,4
0.292,0.00111141,-0.158006,5.2421,-0.749574,-1.03708,-2.88248,2.7579,8,4
0.295,0.00111141,-0.158006,5.2421,-0.749574,-1.03708,-2.88248,2.7579,8,4
0.301,0.00116439,-0.152952,5.147,-0.776686,-1.04429,-2.88239,2.853,8,4
0.304,0.00116439,-0.152952,5.147,-0.776686,-1.04429,-2.88239,2.853,8,4
0.307,0.00116439,-0.152952,5.147,-0.776686,-1.04429,-2.88239,2.853,8,4
0.312,0.00108667,-0.130576,5.0519,-0.804682,-1.05188,-2.882,2.9481,8,4
0.314,0.00108667,-0.130576,5.0519,-0.804682,-1.05188,-2.882,2.9481,8,4
0.32,0.000975033,-0.105168,4.9568,-0.833589,-1.05974,-2.88156,3.0432,8,4
0.322,0.000975033,-0.105168,4.9568,-0.833589,-1.05974,-2.88156,3.0432,8,4
0.326,0.000975033,-0.105168,4.9568,-0.833589,-1.05974,-2.88156,3.0432,8,4
0.333,0.00076004,-0.0673557,4.8617,-0.863387,-1.06795,-2.8809,3.1383,8,4
0.336,0.00076004,-0.0673557,4.8617,-0.863387,-1.06795,-2.8809,3.1383,8,4
0.342,0.000529919,-0.0300355,4.7666,-0.8941,-1.07642,-2.88025,3.2334,8,4
0.345,0.000529919,-0.0300355,4.7666,-0.8941,-1.07642,-2.88025,3.2334,8,4
0.351,0.000208361,0.0161912,4.6715,-0.925708,-1.08522,-2.87942,3.3285,8,5
0.354,0.000208361,0.0161912,4.6715,-0.925708,-1.08522,-2.87942,3.3285,8,5
0.359,0.000117669,0.0608879,4.5764,-0.958233,-1.09428,-2.87864,3.4236,8,5
0.362,0.000117669,0.0608879,4.5764,-0.958233,-1.09428,-2.87864,3.4236,8,5
0.369,0.000117669,0.0608879,4.5764,-0.958233,-1.09428,-2.87864,3.4236,8,5
0.373,0.000527907,0.113836,4.4813,-0.991654,-1.10366,-2.87772,3.5187,8,5
0.376,0.000527907,0.113836,4.4813,-0.991654,-1.10366,-2.87772,3.5187,8,5
0.38,0.000901928,0.157877,4.3862,-1.026,-1.11326,-2.87695,3.6138,8,5
0.383,0.000901928,0.157877,4.3862,-1.026,-1.11326,-2.87695,3.6138,8,5
0.387,0.000901928,0.157877,4.3862,-1.026,-1.11326,-2.87695,3.6138,8,5
0.39,0.00117959,0.185307,4.2911,-1.0613,-1.123,-2.87647,3.7089,8,5
0.396,0.00117959,0.185307,4.2911,-1.0613,-1.123,-2.87647,3.7089,8,5
0.4,0.00127468,0.185252,4.196,-1.09755,-1.13282,-2.87647,3.804,8,5
0.403,0.00127468,0.185252,4.196,-1.09755,-1.13282,-2.87647,3.804,8,5
0.407,0.00127468,0.185252,4.196,-1.09755,-1.13282,-2.87647,3.804,8,5
0.413,0.00129778,0.173176,4.1009,-1.13475,-1.14281,-2.87667,3.8991,8,6
0.415,0.00129778,0.173176,4.1009,-1.13475,-1.14281,-2.87667,3.8991,8,6
0.422,0.00118421,0.143533,4.0058,-1.1729,-1.15292,-2.87718,3.9942,8,6
0.424,0.00118421,0.143533,4.0058,-1.1729,-1.15292,-2.87718,3.9942,8,6
0.428,0.00118421,0.143533,4.0058,-1.1729,-1.15292,-2.87718,3.9942,8,6
0.432,0.00103338,0.109792,3.9107,-1.21198,-1.16324,-2.87777,4.0893,8,6
0.434,0.00103338,0.109792,3.9107,-1.21198,-1.16324,-2.87777,4.0893,8,6
0.44,0.000775317,0.063019,3.8156,-1.252,-1.17371,-2.87859,4.1844,8,6
0.442,0.000775317,0.063019,3.8156,-1.252,-1.17371,-2.87859,4.1844,8,6
0.446,0.000775317,0.063019,3.8156,-1.252,-1.17371,-2.87859,4.1844,8,6
0.45,0.000499738,0.0163824,3.7205,-1.29295,-1.1844,-2.8794,4.2795,8,6
0.454,0.000499738,0.0163824,3.7205,-1.29295,-1.1844,-2.8794,4.2795,8,6
0.459,0.000132722,-0.0409638,3.6254,-1.33484,-1.19525,-2.88039,4.3746,8,7
0.462,0.000132722,-0.0409638,3.6254,-1.33484,-1.19525,-2.88039,4.3746,8,7
0.466,0.000132722,-0.0409638,3.6254,-1.33484,-1.19525,-2.88039,4.3746,8,7
0.47,0.000243535,-0.0945125,3.5303,-1.37765,-1.20633,-2.88132,4.4697,8,7
0.474,0.000243535,-0.0945125,3.5303,-1.37765,-1.20633,-2.88132,4.4697,8,7
0.479,0.00070549,-0.155711,3.4352,-1.4214,-1.21758,-2.88239,4.5648,8,7
0.482,0.00070549,-0.155711,3.4352,-1.4214,-1.21758,-2.88239,4.5648,8,7
0.486,0.00070549,-0.155711,3.4352,-1.4214,-1.21758,-2.88239,4.5648,8,7
0.491,0.00109278,-0.201828,3.3401,-1.46605,-1.22915,-2.88319,4.6599,8,7
0.494,0.00109278,-0.201828,3.3401,-1.46605,-1.22915,-2.88319,4.6599,8,7
0.499,0.00127371,-0.216691,3.245,-1.51157,-1.24117,-2.88343,4.755,8,8
0.502,0.00127371,-0.216691,3.245,-1.51157,-1.24117,-2.88343,4.755,8,8
0.506,0.00127371,-0.216691,3.245,-1.51157,-1.24117,-2.88343,4.755,8,8
0.51,0.00136128,-0.214505,3.1499,-1.55798,-1.25352,-2.8834,4.8501,8,8
0.514,0.00136128,-0.214505,3.1499,-1.55798,-1.25352,-2.8834,4.8501,8,8
0.519,0.00129562,-0.189479,3.0548,-1.60527,-1.26627,-2.88296,4.9452,8,8
0.523,0.00129562,-0.189479,3.0548,-1.60527,-1.26627,-2.88296,4.9452,8,8
0.526,0.00129562,-0.189479,3.0548,-1.60527,-1.26627,-2.88296,4.9452,8,8
0.531,0.00117609,-0.156695,2.9597,-1.65346,-1.27931,-2.88239,5.0403,8,8
0.534,0.00117609,-0.156695,2.9597,-1.65346,-1.27931,-2.88239,5.0403,8,8
