s_m,x_m,y_m
555.842714,400.745532,291.506503
558.847269,397.769980,291.090013
561.851824,394.799109,290.641657
564.856379,391.833180,290.161552
567.860935,388.872265,289.651283
570.865490,385.916446,289.112538
573.870045,382.965949,288.545185
576.874600,380.020960,287.950059
579.879155,377.081626,287.327545
582.883711,374.148191,286.677838
585.888266,371.220973,286.000856
588.892821,368.300416,285.295493
591.897376,365.387041,284.561005
594.901931,362.482386,283.792931
597.906487,359.588416,282.985609
600.911042,356.706994,282.134519
603.915597,353.841897,281.230005
606.920152,350.998469,280.259535
609.924708,348.183928,279.208473
612.929263,345.409365,278.056114
615.933818,342.688601,276.782245
618.938373,340.038262,275.368181
621.942928,337.479117,273.795034
624.947484,335.037200,272.045848
627.952039,332.739386,270.111739
630.956594,330.608327,267.995252
633.961149,328.663913,265.706568
636.965704,326.919601,263.261477
639.970260,325.379224,260.683125
642.974815,324.034495,257.997043
645.979370,322.869080,255.228208
648.983925,321.863107,252.397428
651.988480,320.991248,249.522300
654.993036,320.226629,246.616868
657.997591,319.547259,243.690284
661.002146,318.933280,240.749160
664.006701,318.367036,237.798443
667.011257,317.837456,234.840991
670.015812,317.334497,231.878864
673.020367,316.848181,228.913950
676.024922,316.372711,225.947301
679.029477,315.903464,222.979650
682.034033,315.438302,220.011351
685.038588,314.976934,217.042464
688.043143,314.518582,214.073109
691.047698,314.062067,211.103465
694.052253,313.605087,208.133895
697.056809,313.146329,205.164603
700.061364,312.687619,202.195302
703.065919,312.230356,199.225767
706.070474,311.771787,196.256433
709.075029,311.308691,193.287828
712.079585,310.840615,190.319988
715.084140,310.366711,187.353064
718.088695,309.883894,184.387553
721.093250,309.384655,181.424796
724.097806,308.859917,178.466459
727.102361,308.301990,175.514177
730.106916,307.700010,172.570572
733.111471,307.039864,169.639583
736.116026,306.308493,166.725577
739.120582,305.491789,163.834453
742.125137,304.573582,160.973992
745.129692,303.539811,158.153262
748.134247,302.383971,155.380320
751.138802,301.104010,152.662318
754.143358,299.701591,150.005503
757.147913,298.183907,147.412582
760.152468,296.562770,144.883098
763.157023,294.849694,142.414933
766.161578,293.058467,140.002768
769.166134,291.203772,137.639133
772.170689,289.296418,135.317757
775.175244,287.347022,133.031570
778.179799,285.364932,130.773563
781.184354,283.357225,128.538310
784.188910,281.330322,126.320446
787.193465,279.290428,124.114521
790.198020,277.242394,121.916135
793.202575,275.190822,119.721075
796.207131,273.139299,117.526014
799.211686,271.089682,115.329132
802.216241,269.044006,113.128576
805.220796,267.002485,110.924166
808.225351,264.965348,108.715699
811.229907,262.933093,106.502723
814.234462,260.905037,104.285914
817.239017,258.880403,102.065982
820.243572,256.858756,99.843313
823.248127,254.838185,97.619658
826.252683,252.817541,95.396068
829.257238,250.797136,93.172262
832.261793,248.777005,90.948207
835.266348,246.756311,88.724665
838.270903,244.735228,86.501506
841.275459,242.715099,84.277452
844.280014,240.694772,82.053577
847.284569,238.672681,79.831331
850.289124,236.648756,77.610740
853.293680,234.621829,75.392905
